epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3171.93,0.78488,0.53806,1.04391,0.82158,0.82867,0.90926,0.73847,0.75676,0.53053,1.00381,0.005842,0.005842,0.005842
44,3244.12,0.78598,0.53983,1.0405,0.83772,0.83087,0.917,0.74471,0.75161,0.51406,1.00088,0.005743,0.005743,0.005743
45,3316.52,0.78668,0.53299,1.04194,0.83622,0.8319,0.91379,0.74259,0.74366,0.52304,0.99982,0.005644,0.005644,0.005644
46,3388.73,0.78135,0.53255,1.03841,0.83604,0.8157,0.9116,0.73854,0.75286,0.52512,0.99769,0.005545,0.005545,0.005545
47,3460.95,0.77649,0.52823,1.03585,0.82872,0.83278,0.9125,0.74419,0.74342,0.5165,0.99101,0.005446,0.005446,0.005446
48,3532.86,0.77829,0.5247,1.03754,0.82614,0.84415,0.9167,0.74703,0.73813,0.5107,0.99115,0.005347,0.005347,0.005347
49,3605.41,0.77055,0.52195,1.0337,0.8111,0.83968,0.90957,0.73716,0.75184,0.52309,1.00244,0.005248,0.005248,0.005248
50,3680.49,0.77637,0.52241,1.03516,0.83265,0.82867,0.91293,0.74505,0.74026,0.51723,0.99186,0.005149,0.005149,0.005149
51,3752.85,0.77042,0.52299,1.03124,0.82757,0.83328,0.91264,0.74554,0.73866,0.51402,0.99318,0.00505,0.00505,0.00505
52,3825.73,0.76386,0.51114,1.02878,0.83241,0.83794,0.91545,0.74735,0.74256,0.50903,0.99106,0.004951,0.004951,0.004951
53,3898.42,0.76549,0.51211,1.0312,0.82997,0.83789,0.91485,0.74724,0.74497,0.51444,0.99613,0.004852,0.004852,0.004852
54,3970.61,0.75903,0.51082,1.03135,0.8459,0.81318,0.91294,0.74336,0.74627,0.51899,0.99274,0.004753,0.004753,0.004753
55,4043.79,0.76161,0.50551,1.02606,0.83839,0.82728,0.91571,0.74833,0.73868,0.50856,0.99268,0.004654,0.004654,0.004654
56,4117.56,0.76299,0.50306,1.02642,0.83016,0.83345,0.91364,0.74505,0.74574,0.51193,0.99108,0.004555,0.004555,0.004555
57,4190.11,0.7589,0.50377,1.0229,0.83239,0.81815,0.91108,0.74376,0.73897,0.51786,0.98592,0.004456,0.004456,0.004456
58,4262.5,0.75672,0.50181,1.02554,0.84624,0.81417,0.91204,0.74206,0.74759,0.51343,0.99052,0.004357,0.004357,0.004357
59,4335.21,0.74869,0.49717,1.02445,0.84185,0.82609,0.9143,0.74649,0.74002,0.50489,0.99227,0.004258,0.004258,0.004258
60,4407.3,0.75384,0.49776,1.02606,0.83537,0.82177,0.91215,0.74451,0.74442,0.51426,0.99308,0.004159,0.004159,0.004159
61,4479.99,0.753,0.49564,1.01899,0.84422,0.82404,0.91426,0.74532,0.74143,0.50702,0.9867,0.00406,0.00406,0.00406
62,4553.13,0.75756,0.49444,1.01924,0.84054,0.82076,0.91359,0.74578,0.74367,0.50846,0.98922,0.003961,0.003961,0.003961
63,4626.82,0.74724,0.49002,1.01556,0.82886,0.83278,0.91327,0.74617,0.74107,0.51104,0.98679,0.003862,0.003862,0.003862
64,4699.65,0.74612,0.48757,1.01925,0.83881,0.82557,0.91303,0.74568,0.74188,0.51352,0.98906,0.003763,0.003763,0.003763
65,4772.73,0.74326,0.48136,1.01841,0.85123,0.80785,0.91099,0.74425,0.74133,0.51754,0.98827,0.003664,0.003664,0.003664
66,4844.87,0.74386,0.48082,1.01385,0.83805,0.829,0.91479,0.74839,0.7441,0.51219,0.98494,0.003565,0.003565,0.003565
67,4917.9,0.7388,0.4809,1.01477,0.82481,0.83767,0.91174,0.74608,0.7408,0.51459,0.98556,0.003466,0.003466,0.003466
68,4990.26,0.74621,0.47961,1.01442,0.84305,0.81895,0.91013,0.74581,0.73823,0.51724,0.98611,0.003367,0.003367,0.003367
69,5063.2,0.73561,0.47511,1.01193,0.83593,0.83182,0.91345,0.74901,0.73801,0.50976,0.98755,0.003268,0.003268,0.003268
70,5136.54,0.7353,0.47374,1.01384,0.82413,0.84514,0.9131,0.74779,0.73924,0.50979,0.99019,0.003169,0.003169,0.003169
71,5210.12,0.73223,0.47125,1.01208,0.83977,0.83147,0.91253,0.74685,0.73986,0.50952,0.98713,0.00307,0.00307,0.00307
72,5282.21,0.73168,0.46995,1.00972,0.8342,0.83278,0.91139,0.74637,0.74051,0.50991,0.98718,0.002971,0.002971,0.002971
73,5354.95,0.73472,0.47059,1.0093,0.83877,0.82789,0.913,0.74935,0.7378,0.50797,0.98682,0.002872,0.002872,0.002872
74,5430.53,0.72692,0.46507,1.0073,0.82868,0.84147,0.91282,0.74878,0.73944,0.50865,0.98658,0.002773,0.002773,0.002773
75,5505.13,0.72719,0.46572,1.00874,0.84723,0.82135,0.91018,0.74567,0.74284,0.51703,0.98996,0.002674,0.002674,0.002674
76,5579.77,0.73222,0.46705,1.01222,0.83193,0.83641,0.91241,0.74836,0.74101,0.51354,0.98898,0.002575,0.002575,0.002575
77,5654.96,0.72231,0.45717,1.00399,0.83948,0.83229,0.91244,0.74952,0.73848,0.51078,0.98652,0.002476,0.002476,0.002476
78,5728.83,0.71828,0.45408,1.00401,0.82578,0.84316,0.91206,0.74941,0.73887,0.5137,0.98514,0.002377,0.002377,0.002377
79,5802.8,0.72068,0.45337,1.00277,0.83108,0.83811,0.91232,0.74858,0.73925,0.51392,0.98384,0.002278,0.002278,0.002278
80,5877.65,0.72041,0.45299,1.00306,0.84061,0.8285,0.91278,0.74856,0.73914,0.51385,0.98518,0.002179,0.002179,0.002179
81,5951.45,0.71993,0.45487,1.00329,0.83674,0.83083,0.91127,0.7475,0.73833,0.51675,0.98542,0.00208,0.00208,0.00208
82,6026.84,0.71125,0.44712,1.00263,0.83114,0.83064,0.91063,0.74688,0.73923,0.51877,0.98604,0.001981,0.001981,0.001981
83,6100.2,0.71148,0.44264,1.00407,0.82838,0.83591,0.90957,0.74678,0.73907,0.52066,0.98624,0.001882,0.001882,0.001882
84,6174.57,0.71544,0.44587,1.00219,0.83429,0.83114,0.90876,0.74584,0.73892,0.52301,0.98495,0.001783,0.001783,0.001783
85,6248.44,0.71591,0.44406,1.00033,0.829,0.8369,0.90941,0.74654,0.73881,0.52055,0.98388,0.001684,0.001684,0.001684
86,6323.29,0.70978,0.44253,0.99831,0.8322,0.83147,0.90884,0.74619,0.73675,0.52346,0.98327,0.001585,0.001585,0.001585
87,6396.91,0.69777,0.43333,0.99605,0.82804,0.83457,0.90815,0.74548,0.7393,0.52617,0.98401,0.001486,0.001486,0.001486
88,6470.86,0.70949,0.43718,0.99782,0.82952,0.82982,0.90772,0.74525,0.74039,0.52785,0.98468,0.001387,0.001387,0.001387
89,6546.02,0.7031,0.43403,0.9961,0.82829,0.82968,0.90641,0.74417,0.74212,0.53134,0.98631,0.001288,0.001288,0.001288
90,6620.75,0.69689,0.42681,0.99571,0.82436,0.83213,0.90538,0.74423,0.74103,0.53456,0.98667,0.001189,0.001189,0.001189
91,6698.07,0.67285,0.38856,0.96743,0.82522,0.82842,0.90496,0.74306,0.74191,0.53452,0.98723,0.00109,0.00109,0.00109
92,6771.5,0.66637,0.38052,0.9674,0.83339,0.82455,0.90544,0.74263,0.74328,0.53547,0.98791,0.000991,0.000991,0.000991
93,6847.15,0.66411,0.37859,0.96735,0.83382,0.82414,0.90566,0.7429,0.7415,0.53679,0.9886,0.000892,0.000892,0.000892
94,6920.04,0.66091,0.37293,0.96399,0.83083,0.82702,0.90501,0.74286,0.74152,0.53878,0.98926,0.000793,0.000793,0.000793
95,6993.71,0.65587,0.37121,0.95832,0.82782,0.82998,0.90436,0.74237,0.74218,0.5413,0.98882,0.000694,0.000694,0.000694
96,7067.42,0.65694,0.36859,0.96194,0.82861,0.8307,0.90406,0.74163,0.74311,0.54157,0.99041,0.000595,0.000595,0.000595
97,7140.03,0.6521,0.36416,0.9601,0.83058,0.82801,0.90341,0.74205,0.74253,0.54325,0.99044,0.000496,0.000496,0.000496
98,7212.96,0.65123,0.36363,0.95878,0.82682,0.83214,0.90288,0.74169,0.7426,0.5457,0.9906,0.000397,0.000397,0.000397
99,7287.79,0.64989,0.36039,0.95679,0.82328,0.83427,0.90234,0.74104,0.74318,0.54847,0.99116,0.000298,0.000298,0.000298
100,7362.04,0.64702,0.35883,0.95576,0.82587,0.83163,0.90217,0.74119,0.74307,0.54942,0.99164,0.000199,0.000199,0.000199
